Qty;Parts;Value;Package;Description
4;R13, R14, R15, R16;100k;0204/5;RESISTOR, American symbol
3;R20, R21, R22;10k;0204/5;RESISTOR, American symbol
4;R23, R24, R28, R30;1k;0204/5;RESISTOR, American symbol
3;R17, R18, R19;22k;0204/5;RESISTOR, American symbol
8;R1, R2, R3, R4, R9, R10, R11, R12;2k2;0204/5;RESISTOR, American symbol
4;R27, R29, R33, R34;470;0204/5;RESISTOR, American symbol
4;R25, R26, R31, R32;47k;0204/5;RESISTOR, American symbol
4;R5, R6, R7, R8;4k7;0204/5;RESISTOR, American symbol
2;C2, C3;100n;C050-024X044;CAPACITOR, European symbol
2;C1, C4;100u;E3,5-8;POLARIZED CAPACITOR, European symbol
8;LD1, LD2, LD3, LD4, LD5, LD6, LD7, LD8;;LED3MM;LED
4;D2, D3, D4, D5;1N4148;DO35-10;DIODE
1;D1;1N5819-T;DO41-7.6;1.0A SCHOTTKY BARRIER RECTIFIER
4;Q1, Q2, Q3, Q4;2N3904;TO92;NPN Transistor
1;IC1;7805T;TO220H;Positive VOLTAGE REGULATOR
1;IC2;LM324N;DIL14;OP AMP
4;OK1, OK2, OK3, OK4;PC817;DIL04;SHARP OPTO COUPLER
1;L1;82114R;82114R;INDUCTOR
1;PS1;DK60;SO5K11;Polyswitch
4;K1, K2, K3, K4;G5L;G5LE;RELAY
8;X1, X2, X3, X4, X5, X6, X7, X8;MKDSN1,5/2-5,08;MKDSN1,5/2-5,08;MKDSN 1,5/ 2-5,08 Printklemme
4;X9, X10, X11, X12;MKDSN1,5/3-5,08;MKDSN1,5/3-5,08;MKDSN 1,5/ 3-5,08 Printklemme
1;M1;ARDUINO-NANO;ARDUINO-NANO;Arduino Nano 3.0 Bridge CH340
